0.06 333.576 100 0.0135108 0.0554964 177.859 233.576 -0.80424 0.31642 1.07183 
0.061 334.603 100 0.0130481 0.0566506 178.201 234.603 -0.676902 0.276413 1.07279 
0.062 335.499 100 0.012566 0.0578113 178.5 235.499 -0.563411 0.237979 1.07379 
0.063 336.268 100 0.0120654 0.0589782 178.756 236.268 -0.461907 0.201186 1.07483 
0.064 336.914 100 0.0115474 0.0601509 178.971 236.914 -0.370855 0.166085 1.0759 
0.065 337.442 100 0.0110131 0.061329 179.147 237.442 -0.288976 0.132715 1.07701 
0.066 337.857 100 0.0104634 0.0625122 179.286 237.857 -0.215192 0.1011 1.07815 
0.067 338.164 100 0.00989945 0.0637002 179.388 238.164 -0.148585 0.0712496 1.07933 
0.068 338.368 100 0.00932237 0.0648925 179.456 238.368 -0.0883719 0.0431603 1.08053 
0.069 338.476 100 0.0087332 0.0660889 179.492 238.476 -0.0338727 0.0168163 1.08175 
0.07 338.492 100 0.00813303 0.067289 179.497 238.492 0.0155028 -0.00780926 1.083 
0.071 338.422 100 0.00752289 0.0684924 179.474 238.422 0.0602716 -0.0307532 1.08427 
0.072 338.272 100 0.00690383 0.0696987 179.424 238.272 0.100889 -0.0520611 1.08556 
0.073 338.048 100 0.00627685 0.0709077 179.349 238.048 0.137758 -0.0717856 1.08687 
0.074 337.754 100 0.00564293 0.072119 179.251 237.754 0.171236 -0.0899857 1.0882 
0.075 337.395 100 0.005003 0.0733323 179.132 237.395 0.201643 -0.106725 1.08953 
0.076 336.978 100 0.00435797 0.0745473 178.993 236.978 0.229266 -0.122069 1.09088 
0.077 336.507 100 0.00370868 0.0757638 178.836 236.507 0.254362 -0.13609 1.09224 
0.078 335.987 100 0.00305596 0.0769813 178.662 235.987 0.277161 -0.148856 1.09361 
0.079 335.421 100 0.00240058 0.0781998 178.474 235.421 0.297873 -0.160439 1.09498 
0.08 334.815 100 0.00174326 0.0794189 178.272 234.815 0.316686 -0.170911 1.09636 
0.081 334.172 100 0.00108467 0.0806384 178.057 234.172 0.333771 -0.18034 1.09774 
0.082 333.497 100 0.000425468 0.0818582 177.832 233.497 0.349282 -0.188795 1.09912 
0.083 332.792 100 -0.000233766 0.0830779 177.597 232.792 0.363361 -0.196343 1.1005 
0.084 332.061 100 -0.000892479 0.0842975 177.354 232.061 0.376135 -0.203046 1.10189 
0.085 331.308 100 -0.00155016 0.0855167 177.103 231.308 0.387719 -0.208967 1.10327 
0.086 330.534 100 -0.00220634 0.0867354 176.845 230.534 0.398218 -0.214163 1.10465 
0.087 329.743 100 -0.00286059 0.0879535 176.581 229.743 0.40773 -0.21869 1.10603 
0.088 328.937 100 -0.0035125 0.0891708 176.312 228.937 0.416339 -0.2226 1.1074 
