epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x x
0.293 250.855 100 -0.0364478 0.305149 150.285 150.855 0.426337 -0.0183512 1.22981 
0.294 250.799 100 -0.0364912 0.306164 150.266 150.799 0.426271 -0.0181255 1.22991 
0.295 250.745 100 -0.036534 0.307178 150.248 150.745 0.426207 -0.0179025 1.23 
0.296 250.691 100 -0.0365764 0.308192 150.23 150.691 0.426143 -0.0176823 1.2301 
0.297 250.637 100 -0.0366182 0.309206 150.212 150.637 0.42608 -0.0174648 1.23019 
0.298 250.584 100 -0.0366595 0.31022 150.195 150.584 0.426018 -0.0172499 1.23028 
0.299 250.532 100 -0.0367003 0.311233 150.177 150.532 0.425956 -0.0170376 1.23037 
0.3 250.481 100 -0.0367406 0.312247 150.16 150.481 0.425896 -0.016828 1.23046 
0.301 250.43 100 -0.0367804 0.31326 150.143 150.43 0.425836 -0.0166209 1.23055 
0.302 250.38 100 -0.0368197 0.314273 150.127 150.38 0.425777 -0.0164163 1.23064 
0.303 250.33 100 -0.0368585 0.315286 150.11 150.33 0.425718 -0.0162142 1.23072 
0.304 250.281 100 -0.0368969 0.316299 150.094 150.281 0.425661 -0.0160146 1.23081 
0.305 250.233 100 -0.0369347 0.317312 150.078 150.233 0.425604 -0.0158175 1.23089 
0.306 250.185 100 -0.0369721 0.318324 150.062 150.185 0.425548 -0.0156227 1.23098 
0.307 250.138 100 -0.0370091 0.319336 150.046 150.138 0.425493 -0.0154304 1.23106 
0.308 250.091 100 -0.0370455 0.320349 150.03 150.091 0.425438 -0.0152404 1.23114 
0.309 250.045 100 -0.0370816 0.321361 150.015 150.045 0.425384 -0.0150527 1.23122 
0.31 250 100 -0.0371172 0.322372 150 150 0.425331 -0.0148673 1.2313 
0.311 249.955 100 -0.0371523 0.323384 149.985 149.955 0.425278 -0.0146842 1.23138 
0.312 249.911 100 -0.037187 0.324396 149.97 149.911 0.425226 -0.0145033 1.23146 
0.313 249.867 100 -0.0372213 0.325407 149.956 149.867 0.425175 -0.0143246 1.23153 
0.314 249.824 100 -0.0372552 0.326418 149.941 149.824 0.425124 -0.0141482 1.23161 
0.315 249.781 100 -0.0372886 0.32743 149.927 149.781 0.425074 -0.0139738 1.23168 
0.316 249.739 100 -0.0373217 0.328441 149.913 149.739 0.425025 -0.0138017 1.23176 
0.317 249.697 100 -0.0373543 0.329451 149.899 149.697 0.424976 -0.0136316 1.23183 
0.318 249.656 100 -0.0373865 0.330462 149.885 149.656 0.424928 -0.0134636 1.2319 
0.319 249.616 100 -0.0374183 0.331473 149.872 149.616 0.424881 -0.0132977 1.23197 
0.32 249.576 100 -0.0374498 0.332483 149.859 149.576 0.424834 -0.0131338 1.23204 
0.321 249.536 100 -0.0374808 0.333494 149.845 149.536 0.424788 -0.0129719 1.23211 
0.322 249.497 100 -0.0375115 0.334504 149.832 149.497 0.424742 -0.012812 1.23218 
0.323 249.458 100 -0.0375418 0.335514 149.819 149.458 0.424697 -0.012654 1.23225 
0.324 249.42 100 -0.0375717 0.336524 149.807 149.42 0.424652 -0.012498 1.23232 
0.325 249.383 100 -0.0376012 0.337534 149.794 149.383 0.424608 -0.0123439 1.23238 
0.326 249.346 100 -0.0376304 0.338543 149.782 149.346 0.424565 -0.0121917 1.23245 
0.327 249.309 100 -0.0376592 0.339553 149.77 149.309 0.424522 -0.0120414 1.23251 
0.328 249.273 100 -0.0376877 0.340563 149.758 149.273 0.42448 -0.0118929 1.23258 
0.329 249.237 100 -0.0377158 0.341572 149.746 149.237 0.424438 -0.0117462 1.23264 
0.33 249.201 100 -0.0377435 0.342581 149.734 149.201 0.424397 -0.0116014 1.2327 
0.331 249.167 100 -0.037771 0.34359 149.722 149.167 0.424356 -0.0114583 1.23276 
0.332 249.132 100 -0.037798 0.344599 149.711 149.132 0.424316 -0.0113169 1.23282 
0.333 249.098 100 -0.0378248 0.345608 149.699 149.098 0.424277 -0.0111773 1.23288 
0.334 249.064 100 -0.0378512 0.346617 149.688 149.064 0.424237 -0.0110395 1.23294 
0.335 249.031 100 -0.0378773 0.347626 149.677 149.031 0.424199 -0.0109033 1.233 
0.336 248.998 100 -0.0379031 0.348634 149.666 148.998 0.424161 -0.0107687 1.23306 
0.337 248.966 100 -0.0379285 0.349643 149.655 148.966 0.424123 -0.0106359 1.23311 
