epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
0.00048 102.183927 100 0.0002197668571 0.000406744381 100.7279757 2.183926957 3.312490617 1.789762038 
0.0005 102.2749239 100 0.0002289238095 0.0004236920635 100.758308 2.274923913 3.312490617 1.789762038 
0.00052 102.3659209 100 0.0002380807619 0.000440639746 100.7886403 2.36592087 3.312490617 1.789762038 
0.00054 102.4569178 100 0.0002472377143 0.0004575874286 100.8189726 2.456917826 3.312490617 1.789762038 
0.00056 102.5479148 100 0.0002563946667 0.0004745351111 100.8493049 2.547914783 3.312490617 1.789762038 
0.00058 102.6389117 100 0.000265551619 0.0004914827937 100.8796372 2.638911739 3.312490617 1.789762038 
0.0006 102.7299087 100 0.0002747085714 0.0005084304762 100.9099696 2.729908696 3.312490617 1.789762038 
0.00062 102.8209057 100 0.0002838655238 0.0005253781587 100.9403019 2.820905652 3.312490617 1.789762038 
0.00064 102.9119026 100 0.0002930224762 0.0005423258413 100.9706342 2.911902609 3.312490617 1.789762038 
0.00066 103.0028996 100 0.0003021794286 0.0005592735238 101.0009665 3.002899565 3.312490617 1.789762038 
0.00068 103.0938965 100 0.000311336381 0.0005762212063 101.0312988 3.093896522 3.312490617 1.789762038 
0.0007 103.1848935 100 0.0003204933333 0.0005931688889 101.0616312 3.184893478 3.312490617 1.789762038 
0.00072 103.2758904 100 0.0003296502857 0.0006101165714 101.0919635 3.275890435 3.312490617 1.789762038 
0.00074 103.3668874 100 0.0003388072381 0.000627064254 101.1222958 3.366887391 3.312490617 1.789762038 
0.00076 103.4578843 100 0.0003479641905 0.0006440119365 101.1526281 3.457884348 3.312490617 1.789762038 
0.00078 103.5488813 100 0.0003571211429 0.000660959619 101.1829604 3.548881304 3.312490617 1.789762038 
0.0008 103.6398783 100 0.0003662780952 0.0006779073016 101.2132928 3.639878261 3.312490617 1.789762038 
0.00082 103.7308752 100 0.0003754350476 0.0006948549841 101.2436251 3.730875217 3.312490617 1.789762038 
0.00084 103.8218722 100 0.000384592 0.0007118026667 101.2739574 3.821872174 3.312490617 1.789762038 
0.00086 103.9128691 100 0.0003937489524 0.0007287503492 101.3042897 3.91286913 3.312490617 1.789762038 
0.00088 104.0038661 100 0.0004029059048 0.0007456980317 101.334622 4.003866087 3.312490617 1.789762038 
0.0009 104.094863 100 0.0004120628571 0.0007626457143 101.3649543 4.094863043 3.312490617 1.789762038 
0.00092 104.18586 100 0.0004212198095 0.0007795933968 101.3952867 4.18586 3.312490617 1.789762038 
0.00094 104.276857 100 0.0004303767619 0.0007965410794 101.425619 4.276856957 3.312490617 1.789762038 
0.00096 104.3678539 100 0.0004395337143 0.0008134887619 101.4559513 4.367853913 3.312490617 1.789762038 
0.00098 104.4588509 100 0.0004486906667 0.0008304364444 101.4862836 4.45885087 3.312490617 1.789762038 
0.001 104.5498478 100 0.000457847619 0.000847384127 101.5166159 4.549847826 3.312490617 1.789762038 
0.00102 104.6408448 100 0.0004670045714 0.0008643318095 101.5469483 4.640844783 3.312490617 1.789762038 
0.00104 104.7318417 100 0.0004761615238 0.0008812794921 101.5772806 4.731841739 3.312490617 1.789762038 
0.00106 104.8228387 100 0.0004853184762 0.0008982271746 101.6076129 4.822838696 3.312490617 1.789762038 
0.00108 104.9138357 100 0.0004944754286 0.0009151748571 101.6379452 4.913835652 3.312490617 1.789762038 
0.0011 105.0048326 100 0.000503632381 0.0009321225397 101.6682775 5.004832609 3.312490617 1.789762038 
0.00112 105.0958296 100 0.0005127893333 0.0009490702222 101.6986099 5.095829565 3.312490617 1.789762038 
0.00114 105.1868265 100 0.0005219462857 0.0009660179048 101.7289422 5.186826522 3.312490617 1.789762038 
0.00116 105.2778235 100 0.0005311032381 0.0009829655873 101.7592745 5.277823478 3.312490617 1.789762038 
0.00118 105.3688204 100 0.0005402601905 0.0009999132698 101.7896068 5.368820435 3.312490617 1.789762038 
0.0012 105.4598174 100 0.0005494171429 0.001016860952 101.8199391 5.459817391 3.312490617 1.789762038 
0.00122 105.5508143 100 0.0005585740952 0.001033808635 101.8502714 5.550814348 3.312490617 1.789762038 
0.00124 105.6418113 100 0.0005677310476 0.001050756317 101.8806038 5.641811304 3.312490617 1.789762038 
0.00126 105.7328083 100 0.000576888 0.001067704 101.9109361 5.732808261 3.312490617 1.789762038 
0.00128 105.8238052 100 0.0005860449524 0.001084651683 101.9412684 5.823805217 3.312490617 1.789762038 
0.0013 105.9148022 100 0.0005952019048 0.001101599365 101.9716007 5.914802174 3.312490617 1.789762038 
0.00132 106.0057991 100 0.0006043588571 0.001118547048 102.001933 6.00579913 3.312490617 1.789762038 
0.00134 106.0967961 100 0.0006135158095 0.00113549473 102.0322654 6.096796087 3.312490617 1.789762038 
0.00136 106.187793 100 0.0006226727619 0.001152442413 102.0625977 6.187793043 3.312490617 1.789762038 
